,idx,img_name,digits
0,0,20211117_162655.jpg,"03909,12"
1,1,20230227_091909.jpg,"04230,63"
2,2,20221220_084509.jpg,"04175,55"
3,3,20220523_083805.jpg,"04092,93"
4,4,20220711_084526.jpg,"04097,91"
5,5,20220110_083048.jpg,"03980,29"
6,6,20210104_113302.jpg,"93695,50"
7,7,20220406_082814.jpg,"04082,22"
8,8,20210322_120107.jpg,"03835,60"
9,9,20210705_152933.jpg,"03880,22"
10,10,20221212_085326.jpg,"04160,77"
11,11,20221121_102944.jpg,"04128,60"
12,12,20201207_093416.jpg,"03656,66"
13,13,20220124_082349.jpg,"40400,4"
14,14,20210419_082804.jpg,"03870,81"
15,15,20230328_084441.jpg,
16,16,20220328_081103.jpg,"04075,82"
17,17,20221205_095545.jpg,"04148,96"
18,18,20210608_152313.jpg,"03879,58"
19,19,20220228_075846.jpg,"04049,75"
20,20,20210301_093521.jpg,"03791,67"
21,21,20230220_082444.jpg,"04223,63"
22,22,20220428_071956.jpg,"40814,"
23,23,20220628_085514.jpg,"6097,36"
24,24,20211218_115601.jpg,"03961,42"
25,25,20220221_184344.jpg,"04043,48"
26,26,20230425_082312.jpg,"04271,22"
27,27,20210825_230926.jpg,"03884,78"
28,28,20220207_081831.jpg,"70402,7"
29,29,20210517_202408.jpg,"03876,89"
30,30,20210830_104951.jpg,"03884,88"
31,31,20221229_172552.jpg,"4740,81"
32,32,20200922_182256.jpg,"35683,"
33,33,20210208_082533.jpg,"03748,44"
34,34,20211129_083806.jpg,"03924,55"
35,35,20220620_115311.jpg,"04096,27"
36,36,20221128_082129.jpg,"04137,93"
37,37,20211004_231217.jpg,"03887,83"
38,38,20220509_083714.jpg,"40905,34"
39,39,20210125_083418.jpg,"03727,29"
40,40,20211018_214445.jpg,"38900,"
41,41,20210111_165510.jpg,"03701,89"
42,42,20210920_084328.jpg,
43,43,20210719_073525.jpg,"03881,05"
44,44,20230516_091505.jpg,
45,45,20220321_203249.jpg,"40741,"
46,46,20210502_145234.jpg,"03874,70"
47,47,20230306_083006.jpg,"04243,04"
48,48,20211108_083834.jpg,"3702,89"
49,49,20210524_085318.jpg,"93877,79"
50,50,20210405_211326.jpg,"38488,5"
51,51,20210726_210302.jpg,"3881,72"
52,52,20230113_091207.jpg,"04200,27"
53,53,20230320_103828.jpg,"04259,68"
54,54,20211026_212901.jpg,"93891,64"
55,55,20201214_183306.jpg,"93665,4"
56,56,20220108_201603.jpg,"03974,86"
57,57,20220314_191230.jpg,"04068,81"
58,58,20210628_082356.jpg,"03880,22"
59,59,20211108_083833.jpg,
60,60,20230522_080716.jpg,
61,61,20220411_081528.jpg,"04084,91"
62,62,20230501_225449.jpg,
63,63,20230403_125253.jpg,"04265,32"
64,64,20220214_150920.jpg,"04037,26"
65,65,20211207_085920.jpg,"3941,11"
66,66,20220131_083851.jpg,"4016,73"
67,67,20220119_095456.jpg,"03996,67"
68,68,20210930_091244.jpg,"3886,"
69,69,20220829_075719.jpg,"04104,93"
70,70,20210308_085049.jpg,"03811,47"
71,71,20230102_083522.jpg,"04187,47"
72,72,20230410_201522.jpg,"04267,14"
73,73,20221025_182815.jpg,"04114,68"
74,74,20230212_201311.jpg,"04206,32"
75,75,20220307_202407.jpg,"34062,99"
76,76,20211101_080850.jpg,"93894,21"
77,77,20230510_082021.jpg,
78,78,20210712_133854.jpg,"03880,58"
79,79,20230313_083739.jpg,"04254,42"
80,80,20230417_081409.jpg,"04268,80"
81,81,20210118_102157.jpg,"03771,66"
82,82,20230109_080727.jpg,"04194,80"
83,83,20210426_084522.jpg,"03872,07"
